Project ID,Sr No.,Item Name,Item Category,Quantity,UOM,Rate ($),Amount ($),Weight (kg),Month,Year,Company Name,City,Country
AG-MAY25,374,Invertor 4200 W,Raw Material,1.0,Piece,,,10.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,375,Kancheey Shappar,Raw Material,1.0,Piece,,,10.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,376,National Iron,Raw Material,1.0,Piece,,,10.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,377,Stam Iron,Raw Material,1.0,Piece,,,10.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,378,Tharbian,Raw Material,10.0,Piece,,,100.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,379,TR Battery 1800 Amp,Raw Material,2.0,Piece,,,20.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,380,Trunk Box,Raw Material,2.0,Piece,,,20.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,381,MC4,Solar Material,10.0,Piece,,,10.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,382,Solar Panel Longi 600 W,Solar Material,6.0,Plates,,,60.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-MAY25,383,Solar Stand ,Solar Material,3.0,Piece,,,30.0,May,2025,Ali Global Trading Company,Lahore,Pakistan
AG-FEB26,384,Face GrInder Machine,Mechanical,1.0,Machine," $1,429.00 ",1429.0,500.0,November,2025,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,385,Lath Machine 5 ft,Mechanical,3.0,Machine," $1,250.00 ",3750.0,1500.0,November,2025,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,386,Lath Machine 8 ft,Mechanical,2.0,Machine," $2,500.00 ",5000.0,1000.0,November,2025,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,387,Boric Acid ,Furnace Material,2.0,bag, $54.00 ,107.0,20.0,February,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,388,Coil Cot Powder,Furnace Material,500.0,kg, $-   ,89.0,5000.0,February,2026,PakArab Steel Factory,Khartoum,Sudan
AG-FEB26,389,Graphite Powder,Furnace Material,10.0,bag, $29.00 ,286.0,100.0,February,2026,PakArab Steel Factory,Khartoum,Sudan
